date,category,title,amount
2019-11-27,eletrônicos,Limpol 2/4,20
2019-11-27,eletrônicos,Limpol 4/8,23.46
2019-11-27,outros,Comercio de 4/4,35
2019-11-27,vestuário,Ria Fl 3/3,37.8
2019-11-27,vestuário,Ria Fl 2/3,63.26
2019-11-28,supermercado,Bem ,33.06
2019-11-29,,Pagamento recebido,-45.8
2019-12-02,transporte,Beriz,17.5
2019-12-02,transporte,Beriz,12.31
2019-12-02,transporte,Beriz,9.7
2019-12-06,eletrônicos,Ren Fl 147 Sh 1/2,18.9
2019-12-20,serviços,Boticario,34
2019-12-27,transporte,Beriz,7.38
2019-12-27,transporte,Beriz,7.66
